bikeid,end station id,start station id,starttime,stoptime
a8912cdc,aed4f6,1c58ba,2013-09-26 11:07:17,2013-09-26 11:13:00
9bd5348d,aed4f6,c3d048,2013-10-22 09:00:01,2013-10-22 09:07:16
036ca6e3,478c8c,5170f6,2013-10-23 06:57:24,2013-10-23 07:09:32
b64e3792,c50e54,dbe529,2013-11-17 16:24:14,2013-11-17 16:37:46
5a4d4eb3,d3f9ad,5b4242,2013-10-21 14:58:58,2013-10-21 15:04:50
d07d2886,049699,264b04,2013-11-07 07:01:06,2013-11-07 07:07:44
7d716637,578844,dbe529,2013-11-20 14:31:16,2013-11-20 14:41:17
884f5b30,20892b,65d1d8,2013-10-21 13:01:44,2013-10-21 14:16:53
c79c3877,51a2a6,0dffba,2013-11-04 08:06:55,2013-11-04 08:15:59
245c88e6,9d0310,47391b,2013-09-26 22:40:17,2013-09-26 23:05:27
fa7ed222,79c85f,8e0642,2013-10-05 13:24:09,2013-10-05 13:44:41
6c3eb0d0,36ba2f,ed608e,2013-11-18 14:22:30,2013-11-18 14:45:40
dfffceba,447e08,9937ea,2013-11-17 14:28:50,2013-11-17 14:53:45
23156717,60c890,a405ef,2013-11-23 18:03:28,2013-11-23 18:16:45
67bc09a4,d87952,df93c9,2013-10-16 14:23:10,2013-10-16 14:42:02
