symid	ticker	open	high	low	close	volume	adjClose
100	QQQ	79	79.25	78.57	78.83	21875702	78.83
101	SPY	169.92	170.53	169.21	169.57	106333010	169.57
102	DIA	153.75	154.02	152.95	153.06	5774861	153.06
103	SMH	40.31	40.55	40.1	40.37	1456440	40.37
104	MDY	225.8	227.03	224.48	225.64	1437795	225.64
105	IBB	207.56	208.92	206.47	207.98	339646	207.98
106	IVV	170.82	171.46	170.14	170.54	4167623	170.54
108	AAPL	495	495.47	487.82	489.1	13012249	489.1
109	ADBE	51.79	51.88	51.07	51.42	3103206	51.42
111	ALTR	37.37	37.71	37.16	37.36	1970694	37.36
112	AMAT	17.31	17.52	16.95	17.44	88903823	17.44
113	AMGN	115.19	116.48	114.59	114.78	2225619	114.78
114	AMZN	312.43	318.08	311.28	314.13	2033546	314.13
116	APOL	20.69	20.88	20.47	20.53	1360552	20.53
117	BBBY	74.77	75.19	73.612	74.81	2004080	74.81
121	BRCD	8.17	8.25	8.12	8.18	4696275	8.18
122	BRCM	26.78	26.8	26.42	26.65	9052428	26.65
126	CHKP	57.71	57.715	56.83	57	738301	57
127	CHRW	61.57	62.14	61.55	61.71	1229001	61.71
128	CIEN	24.76	25.49	24.5	25.12	3961559	25.12
129	CMCSA	44.05	44.35	43.61	43.69	10884681	43.69
131	COST	117.92	118.08	116.32	116.34	1649936	116.34
132	CPWR	10.88	11	10.8	10.95	1085299	10.95
133	CSCO	24.2	24.32	23.94	24.14	29762311	24.14
134	CTAS	51.28	51.43	50.97	51.06	462700	51.06
135	CTXS	73.54	73.63	71.71	72.29	2807734	72.29
136	DELL	13.87	13.88	13.87	13.88	10570261	13.88
137	DISH	45.82	46.63	45.6	46.05	3226409	46.05
138	DLTR	58.1	58.58	57.97	58.14	1282566	58.14
139	EBAY	55	55.47	54.64	55.16	6652661	55.16
141	EA	26.27	26.68	26.215	26.55	3328347	26.55
142	ESRX	62.31	62.42	60.8	60.94	8017396	60.94
143	EXPD	44.65	45	44.58	44.7	994139	44.7
144	FAST	49.9	50.23	49.845	49.93	1269548	49.93
146	FISV	101.15	102.19	100.57	101.81	646607	101.81
147	FLEX	9.22	9.28	9.14	9.18	2653658	9.18
149	GILD	62.63	63.16	62.36	62.74	5174950	62.74
150	GNTX	25.74	26.1	25.63	25.66	559433	25.66
152	HSIC	105.26	105.26	103.91	104.07	452395	104.07
153	IACI	53.62	54.34	53.22	53.91	552493	53.91
156	INTC	23.58	23.85	23.58	23.69	24410084	23.69
157	INTU	67	67	65.735	65.96	2748741	65.96
159	JDSU	14.64	14.825	14.38	14.69	3205082	14.69
160	JNPR	20.2	20.415	20.06	20.2	8774052	20.2
161	KLAC	61.5	61.5	60.84	61.14	2233978	61.14
162	LAMR	45.61	45.74	45.37	45.58	897982	45.58
163	LLTC	40.23	40.31	39.92	40	1262356	40
165	MCHP	40.99	41.13	40.51	40.95	1677916	40.95
169	MNST	55.28	55.58	54.5785	54.74	953961	54.74
170	MOLX	38.84	38.85	38.69	38.74	946905	38.74
171	MSFT	32.69	32.87	32.15	32.46	40684948	32.46
172	MXIM	29.97	30.26	29.89	30.04	2743898	30.04
173	NTAP	42.48	43.45	42.45	42.88	6590867	42.88
