ID ,TICKER,CUSIP   ,NAME                             ,HBTA,BETA,SRISK%,TRISK%,VOLTILTY,MOMENTUM,SIZE    ,SIZENONL,TRADEACT,GROWTH  ,EARNYLD ,VALUE   ,EARNVAR ,LEVERAGE,CURRSEN ,YIELD   ,NONESTU ,INDNAME1,IND1,WGT1%,INDNAME2,IND2,WGT2%,INDNAME3,IND3,WGT3%,INDNAME4,IND4,WGT4%,INDNAME5,IND5,WGT5%,PRICE   ,CAPITALIZATION  ,YLD%  ,SAP500,SAPVAL,SAPGRO,MIDCAP,MIDVAL,MIDGRO,SC600 ,SCVAL ,SCGRO ,E3ESTU,INTRA_MONTH_ADDITION
USA06D1,TBLZ  ,89278P10,TRAILBLAZER RES INC              , 2.421, 2.260,  55.626,  69.456, 5.000,-0.448,-5.020,-5.066,-2.540,-1.537,-2.871,-1.453, 1.495, 2.563,-5.002,-0.804, 1.000,INDPART ,  29, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     0.450,      12722850.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USA06F1,NSPR  ,45779A30,INSPIREMD INC                    , 1.947, 2.068,  46.694,  63.017, 4.438,-4.679,-4.595,-5.066,-1.294, 0.435,-5.000,-0.958, 1.067, 0.900, 4.752,-1.050, 1.000,MEDPRODS,  36, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     2.150,      73781550.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USA06G1,LYNS  ,53228J10,LIGHTYEAR NETWORK SOLUTIONS IN   , 5.000, 2.101,  57.673,  71.423, 5.000,-3.618,-5.020,-5.066,-2.801, 1.445,-3.150,-3.981, 3.428, 5.001,-3.356,-1.050, 1.000,TELEPHON,  43, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     0.148,       3268876.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USA06S1,MPSP  ,58504M10,MEDPRO SAFETY PRODUCTS INC       ,-3.000, 1.264,  46.854,  55.111, 1.690,-2.289,-5.020,-5.066,-2.791, 0.901,-0.246,-3.981, 2.704, 4.375, 4.894,-1.100, 1.000,MEDPRODS,  36, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     0.738,      25473987.500,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USA06Z1,MDXG  ,60249610,MIMEDX GROUP INC                 ,-0.433, 0.923,  35.071,  44.365, 1.985, 4.160,-3.100,-2.724,-1.289, 3.521,-1.657,-1.051, 0.541, 0.659,-3.820,-1.050, 1.000,BIOTECH ,  55, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     6.170,     594633750.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USA0701,NWCI  ,65106G10,NEWCARDIO INC                    , 0.758, 1.959,  59.370,  70.430, 4.371,-2.173,-5.020,-5.066,-2.828,-2.185,-3.217, 1.029, 3.065, 3.756,-5.002,-1.637, 1.000,MEDPROVR,  35, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     0.002,         53036.800,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USA0711,NUIN  ,67060M10,NUTRASTAR INTL INC               , 1.230, 1.644,  43.736,  54.762, 3.241,-3.014,-5.020,-5.066,-2.593, 0.199,-2.028, 0.036, 1.684, 2.204, 5.002,-0.686, 1.000,HOMEPROD,  11, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     0.980,      15595720.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USA0721,OOIL  ,68622820,ORIGINOIL INC                    , 1.368, 1.884,  44.803,  60.268, 3.706,-5.000,-5.020,-5.066,-0.704,-0.307,-3.979,-1.339, 2.668, 1.926, 1.252, 0.947, 1.000,OILREF  ,   6, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     0.260,      10975120.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USA0741,ANNC  ,03600C10,ANNEC GREEN REFRACTORIES CORP    ,-2.143, 1.409,  32.258,  42.368, 1.737,-0.133,-5.020,-5.066,-2.748, 0.121,-1.932, 0.211, 1.305, 1.157, 3.458,-0.754, 1.000,INDPART ,  29, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     0.750,      14997000.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USA0771,UIHC  ,91071010,UNITED INS HLDGS CORP            ,-999.0, 1.000,  25.406,  33.529, 1.591, 0.425,-4.304,-5.066,-1.485,-0.262, 2.255, 0.968, 0.298, 0.430,-0.538,-0.277, 1.000,PRPTYINS,  48, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     7.720,     125087160.000,   1.598,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USA0791,VLOV  ,91825830,VLOV INC                         , 2.305, 2.537,  51.867,  72.807, 4.578,-4.787,-5.020,-5.066,-2.024, 2.381, 3.240, 5.000, 1.119, 1.013,-3.589,-1.050, 1.000,APPAREL ,  15, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     0.955,       2519290.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USA07Q1,VSST  ,92863D10,VOICE ASSIST INC                 ,-3.000, 1.613,  51.086,  60.822, 2.849,-2.829,-5.020,-5.066,-2.760, 0.990,-2.538,-1.553, 1.965, 3.301,-2.774,-1.050, 1.000,CMPTRSW ,  41, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     0.080,       3600320.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USA07V1,WLOL  ,97424P10,WINLAND OCEAN SHIPPING CORP      ,-0.938, 1.829,  45.507,  58.605, 2.656,-2.487,-5.020,-5.066,-2.950, 0.536,-1.365, 5.000, 1.542, 4.232,-1.166,-0.788, 1.000,TRUCKFRT,  34, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     0.028,       5460000.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USA0921,AACAY ,00030410,AAC TECHNOLOGIES HLDGS INC       , 0.076, 1.128,  26.113,  33.982, 0.788, 1.638,-1.401,-0.159,-1.962, 0.322,-0.222, 0.028, 0.201, 0.135, 0.068,-0.597, 1.000,ELECEQP ,  38, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,    45.590,    5598452000.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USA0931,AEBZY ,03252320,ANADOLU EFES BIRACILIK VE MALT   , 0.735, 1.412,  24.683,  36.431, 1.821,-0.887,-1.117,-0.030,-2.267,-0.518,-0.066, 0.038,-0.009, 0.004,-0.647,-0.532, 1.000,ALCOHOL ,   9, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     2.340,    6927628500.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USA0941,BZQIY ,08861Q10,BEZEQ ISRAEL TELECOMMUNICATION C , 0.791, 1.164,  24.450,  34.260, 1.663, 0.790,-1.597,-0.284,-2.285,-0.664,-1.434,-0.670, 1.347, 1.936, 4.735, 0.862, 1.000,TELEPHON,  43, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     8.370,    4564492452.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USA0951,BLSFY ,09625Q20,BLUESCOPE STL LTD                ,-0.476, 1.203,  29.847,  40.384, 0.658, 2.227,-1.931,-0.581,-1.222,-0.126,-1.305, 0.982, 1.281, 1.166, 5.002,-0.133, 1.000,MINING  ,   1, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,    25.340,    2829175524.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USA0961,CNGRY ,14918810,CATLIN GROUP LTD                 , 0.801, 0.881,  21.360,  27.121, 0.268,-0.484,-1.951,-0.602,-2.006,-0.295,-0.710, 1.266, 0.681, 0.185, 0.153, 0.020, 1.000,PRPTYINS,  48, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,    14.660,    2652631710.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
