symid	ticker	open	high	low	close	volume	adjClose
208	A	52.87	53.47	50.749	50.98	18147108	50.98
209	AA	8.65	8.68	8.4	8.44	33087130	8.44
16391	AA PR	79.25	79.25	70.51	72.17	4053	72.17
18725	AADR	35.97	36.19	35.86	36.19	15305	36.19
762	AAMRQ	3.88	3.98	3.88	3.95	8148100	3.95
2496	AAN	27.63	28.36	27.63	28.28	787987	28.28
649	AAON	25.66	26.0801	25.4901	25.97	39993	25.97
650	AAP	80.41	81.07	80.3959	80.71	733293	80.71
108	AAPL	470.84	475.83	469.25	472.3	14447816	472.3
18271	AAT	31.31	31.69	31.26	31.34	51224	31.34
14652	AAU	1.55	1.64	1.5	1.5	128120	1.5
3259	AAUKY	13.28	13.31	13.01	13.02	2607200	13.02
9273	AAV	3.81	3.89	3.7278	3.78	92453	3.78
9274	AAWW	46.98	47.32	46.6201	46.89	140094	46.89
16392	AAXJ	61.02	61.08	60.53	60.91	2027174	60.91
7039	AB	21.92	22.18	21.7	21.95	522701	21.95
3123	ABAX	40.6	41.53	40.2901	41.05	93343	41.05
5487	ABB	24	24.08	23.89	24.03	1382272	24.03
40309	ABBV	48.14	48.23	47.31	47.4	5326423	47.4
210	ABC	61.85	62.44	61.78	62.23	1217681	62.23
651	ABCB	19.1	19.17	18.64	19.01	32557	19.01
17825	ABCD	1.49	1.5231	1.48	1.51	85021	1.51
652	ABCO	59.47	60.1	58.18	59.85	63246	59.85
655	ABFS	25.78	26.4	25.62	25.64	396439	25.64
656	ABG	53.64	53.88	53.25	53.43	138208	53.43
2172	ABIO	1.39	1.49	1.37	1.45	2082171	1.45
658	ABM	26.06	26.13	25.9514	26.05	146145	26.05
3128	ABMD	23.17	23.17	22	22.04	511821	22.04
8777	ABR	7.41	7.46	7.301	7.46	110731	7.46
214	ABT	35.65	35.72	35.29	35.34	6495037	35.34
660	ABTL	7.62	7.7498	7.34	7.51	46460	7.51
5766	ABV	38.79	39.26	38.71	39.23	2095773	39.23
14656	ABV C	38.88	39.3	38.76	39.17	22801	39.17
5600	ABX	20.11	20.18	19.06	19.44	23341864	19.44
8204	ACAD	23.92	24.5	23.65	24.5	1689545	24.5
663	ACAS	13.52	13.55	13.41	13.45	1983782	13.45
664	ACAT	58.65	59.33	57.76	57.99	58466	57.99
8778	ACC	36.58	37.037	36.36	36.68	1149582	36.68
8052	ACCL	9.49	9.6	9.38	9.53	41301	9.53
18728	ACCU	27.81	27.86	27.7501	27.81	11200	27.81
215	ACE	94.51	95.48	94.495	95.35	1367547	95.35
666	ACET	14.68	14.83	14.44	14.76	81452	14.76
14170	ACFN	6.64	6.63	6.28	6.31	77568	6.31
5494	ACG	7.03	7.05	6.96	6.97	1043260	6.97
3279	ACGL	54.13	54.41	53.95	54.06	403760	54.06
5533	ACH	9.44	9.44	9.14	9.21	88996	9.21
18672	ACHC	39.98	40.215	39.4	39.54	200358	39.54
14003	ACHN	7.2	7.35	7.15	7.29	690541	7.29
668	ACI	5	5.15	4.94	4.99	11843189	4.99
14004	ACIW	52.55	52.86	51.87	52.3	152052	52.3
670	ACLS	2.23	2.26	2.22	2.24	237617	2.24
9547	ACM	30.69	30.9	30.43	30.69	693426	30.69
5493	ACN	78.05	78.33	77.46	77.55	2837857	77.55
673	ACO	34.32	34.48	33.82	34.08	52211	34.08
9216	ACOR	35.94	36.17	35.26	35.56	183748	35.56
5543	ACP	16.86	16.88	16.76	16.79	47964	16.79
3145	ACPW	2.88	2.88	2.82	2.87	191758	2.87
19085	ACRX	10.27	10.41	10.07	10.1	577318	10.1
620	ACT	139.49	139.78	137.786	138.4	680913	138.4
3131	ACTG	22.93	23.4	22.8101	22.98	221236	22.98
9276	ACTS	2.63	2.63	2.58	2.6	60796	2.6
18481	ACTV	10.82	10.88	10.64	10.86	283793	10.86
15216	ACUR	1.68	1.82	1.57	1.58	1651847	1.58
18260	ACW	5.33	5.4	5.26	5.28	62971	5.28
15291	ACWI	55.24	55.24	54.94	55.02	1380681	55.02
18729	ACWV	63.18	63.24	62.78	62.91	24727	62.91
15292	ACWX	46.15	46.15	45.75	45.84	179728	45.84
677	ACXM	27	27	26.39	26.51	177143	26.51
109	ADBE	52.05	52.395	51.575	51.87	7183302	51.87
5506	ADC	29.63	30.1	29.63	30.03	68678	30.03
9429	ADEP	5.9	6.68	5.9	6.56	398896	6.56
8208	ADES	42.48	42.49	41.73	42.27	31452	42.27
217	ADI	48.73	48.75	48.24	48.4	1683847	48.4
15910	ADK	4.1	4.2	4.05	4.1	37552	4.1
218	ADM	37.09	37.2	36.83	37.06	2255536	37.06
219	ADP	74.89	74.95	74.48	74.7	1657367	74.7
3414	ADRE	38.53	38.6123	38.25	38.53	40976	38.53
3415	ADRU	23.92	23.92	23.72	23.92	4303	23.92
683	ADS	211	212.25	210.095	210.43	290708	210.43
631	ADSK	40.61	41.19	40.42	40.94	4134654	40.94
40307	ADT	42	42.79	41.85	42.69	4199089	42.69
684	ADTN	27.5	27.62	27.11	27.29	287935	27.29
17801	ADUS	28.19	28.61	28.0224	28.21	120751	28.21
687	ADVS	31.68	32.3041	31.25	31.93	445349	31.93
5495	ADX	12.58	12.65	12.58	12.64	137170	12.64
6942	AE	62.83	62.95	61.91	62.12	5123	62.12
14658	AEB	20.44	20.979	20.29	20.67	17032	20.67
688	AEC	15.52	15.7	15.42	15.45	508545	15.45
5525	AED	23.27	23.36	23.2002	23.21	32160	23.21
220	AEE	34.9	35.1351	34.725	34.77	2465741	34.77
5503	AEF	25.13	25.25	25.02	25.05	45475	25.05
5502	AEG	7.58	7.59	7.49	7.49	2475347	7.49
1749	AEGN	23.65	23.87	23.56	23.69	121991	23.69
18142	AEGR	84.12	88.1	84.12	87.5	580566	87.5
9704	AEH	22.9	23.02	22.77	22.82	125029	22.82
689	AEIS	18	18.13	17.58	17.69	246043	17.69
18730	AEK	27.43	27.6	27.32	27.5	64692	27.5
8478	AEL	21.1	21.18	20.6	20.84	1350370	20.84
5505	AEM	29.6	29.89	28.405	28.72	2405835	28.72
5501	AEO	15.35	15.41	14.99	15.03	3145067	15.03
221	AEP	44.99	45.12	44.3228	44.67	4187049	44.67
3159	AEPI	71.54	72.08	70.23	70.5	129925	70.5
9430	AER	19.46	19.56	19.32	19.35	213727	19.35
18050	AERL	3.92	4.05	3.9	3.95	62913	3.95
222	AES	13.7	13.77	13.51	13.59	2635856	13.59
15422	AES PRC	50.3	50.36	50.1801	50.21	10378	50.21
223	AET	66.6	67.4	64.6	64.84	5500547	64.84
14006	AETI	6.87	7.04	6.81	6.9	25774	6.9
9681	AEV	24.01	24.16	23.98	24.13	111152	24.13
8209	AEZS	1.58	1.6	1.56	1.58	284493	1.58
693	AF	12.89	12.89	12.52	12.57	294339	12.57
3195	AFAM	19.27	19.32	19.1	19.23	12218	19.23
5520	AFB	12.62	12.7	12.53	12.68	207570	12.68
694	AFC	23.09	23.4	23.07	23.17	20642	23.17
17855	AFCB	17.75	17.76	17.75	17.98	5715	17.98
8210	AFCE	44.22	44.37	43.37	43.7	139303	43.7
698	AFFX	6.1	6.13	6.01	6.04	1046112	6.04
9943	AFFY	1.39	1.41	1.26	1.38	1003000	1.38
699	AFG	54.17	54.475	53.76	53.89	239137	53.89
5534	AFK	30.37	30.37	29.75	29.75	21919	29.75
224	AFL	62.96	63	61.94	62.16	2967163	62.16
3185	AFOP	23	23.94	22.2	22.73	1279453	22.73
18121	AFQ	25.27	25.63	25.25	25.53	5039	25.53
9510	AFSI	38.89	40.16	38.3167	39.8	597415	39.8
14430	AFT	18.07	18.16	18.02	18.05	74268	18.05
18247	AG	14.38	14.47	13.51	13.85	2103566	13.85
14172	AGC	6.93	6.98	6.928	6.97	129912	6.97
701	AGCO	59.97	60.65	59.89	60.54	1057276	60.54
6978	AGD	4.83	4.87	4.8	4.84	89514	4.84
17726	AGEM	23.54	23.4	23.1501	23.32	7280	23.32
703	AGEN	3	3	2.86	2.91	1029856	2.91
8781	AGG	106.85	106.94	106.7	106.77	661790	106.77
704	AGI	17.2	17.38	16.539	16.99	1026714	16.99
705	AGII	42.84	43.72	42.5101	42.88	132840	42.88
709	AGM	33.84	34.52	33.3	34.49	44960	34.49
225	AGN	89.19	91.57	89.05	91.2	3258031	91.2
15425	AGNC	24.56	24.58	23.63	23.79	8104684	23.79
8479	AGO	20.02	20.22	19.84	19.85	2548856	19.85
18732	AGOL	0	135.5	133.505	133.93	18260	133.93
16632	AGQ	23.13	23.51	22.682	22.77	3159459	22.77
18293	AGRO	7.64	7.64	7.45	7.48	178528	7.48
5507	AGU	92.64	92.64	90.61	90.99	519114	90.99
14662	AGX	20.81	21.55	20.765	21.34	82339	21.34
7753	AGYS	12.32	12.39	12.13	12.33	20708	12.33
16397	AGZ	111.06	111.04	110.74	110.84	100836	110.84
17994	AH	9.94	10.05	9.81	9.95	321908	9.95
226	AHC	7.61	7.67	7.57	7.6	32488	7.6
9548	AHGP	61.03	62.36	60.97	60.97	89299	60.97
7754	AHH	9.87	10.17	9.85	10.12	101291	10.12
8480	AHL	36.98	37.15	36.87	36.9	216359	36.9
16398	AHL PRA	26	26	25.85	25.85	15402	25.85
716	AHS	14.06	14.06	13.735	14.01	114651	14.01
5566	AHT	12.6	12.77	12.43	12.56	359102	12.56
16401	AHT PRD	25.5	25.6426	25.4708	25.64	6200	25.64
1411	AI	26.09	26.5	25.94	26.05	257625	26.05
6963	AIA	48.3	48.3	47.9	48.25	151009	48.25
227	AIG	50.8	50.82	49.81	49.86	11026514	49.86
9550	AIMC	27.23	27.53	26.75	27.02	38584	27.02
717	AIN	35.18	35.57	35.09	35.55	71504	35.55
8213	AINV	8.31	8.31	8.21	8.23	1415309	8.23
718	AIQ	25.34	25.43	24.78	24.85	47790	24.85
8054	AIQUY	28.33	28.34	28.02	28.16	13800	28.16
719	AIR	28.93	29.67	28.84	29.6	820868	29.6
3167	AIRM	42.49	42.87	41.53	41.71	301700	41.71
3168	AIRT	10.8	10.98	10.67	10.75	14633	10.75
720	AIT	51.36	51.69	51.17	51.4	61276	51.4
228	AIV	29.87	30.248	29.61	29.64	950735	29.64
8481	AIXG	17.43	17.52	17.17	17.35	52277	17.35
8055	AIZ	56.25	56.39	54.89	55	871178	55
721	AJG	44.75	44.79	44.28	44.3	767283	44.3
722	AKAM	52.52	53.03	52.3	52.81	2987037	52.81
40312	AKG	2.9	2.9	2.74	2.78	66952	2.78
5518	AKP	12.18	12.18	12.09	12.14	40266	12.14
723	AKR	25.22	25.44	25.11	25.23	154792	25.23
9511	AKRX	18.74	18.95	18.67	18.75	394033	18.75
724	AKS	4.51	4.65	4.41	4.44	12888635	4.44
3172	AKZOY	22.58	22.58	22.23	22.33	21000	22.33
18419	AL	28.49	28.5	27.97	28.06	682758	28.06
727	ALB	63.43	64.395	63.33	63.58	652965	63.58
728	ALCO	43.84	43.84	43	43.03	2482	43.03
18346	ALD	49.22	49.4	49.071	49.2	68284	49.2
730	ALE	48.26	48.5153	47.84	47.93	128252	47.93
16433	ALEX	39.29	39.49	37.99	38.58	83975	38.58
732	ALFA	35.49	35.6	35.369	35.477	7570	35.477
733	ALG	47.02	47.02	45.9	46.57	26547	46.57
734	ALGN	48.29	49.08	47.64	47.67	596609	47.67
9279	ALGT	101.32	103.4	100.2	102.99	129204	102.99
17960	ALIM	3.95	3.99	3.7459	3.83	34869	3.83
5528	ALJ	11.03	11.12	10.64	10.66	1067676	10.66
735	ALK	62.78	63.04	62.18	62.58	433358	62.58
736	ALKS	35.24	35.49	34.8	35.17	432168	35.17
229	ALL	52	52.8	51.97	52.62	4229240	52.62
9966	ALLT	13.89	14	13.28	13.31	266199	13.31
18335	ALLY PRA	26.93	26.98	26.46	26.75	233341	26.75
18368	ALLY PRB	26.82	26.95	26.47	26.63	61123	26.63
8214	ALNY	55.94	57.98	55.87	57.61	492786	57.61
740	ALOG	82.08	82.5	81.3	82.1	42964	82.1
16646	ALP PRO	25.64	25.78	25.4	25.78	5025	25.78
1727	ALR	32.37	32.518	31.59	31.8	480060	31.8
3175	ALSK	2.7	2.7	2.63	2.67	319281	2.67
18733	ALSN	25.01	25.17	24.73	24.78	234424	24.78
111	ALTR	38.28	38.35	37.88	37.99	1614126	37.99
6954	ALU	3.47	3.47	3.4	3.43	18154852	3.43
744	ALV	88.92	89.32	87.99	88.8	369500	88.8
745	ALX	286.24	287.06	282.04	285.51	3298	285.51
9432	ALXA	5.27	5.33	5.16	5.28	144792	5.28
746	ALXN	116.07	116.24	112.57	114.01	1064143	114.01
9242	AMAG	25.95	26.61	25.38	26.24	60913	26.24
18046	AMAP	14.84	15.65	14.84	15.45	469899	15.45
112	AMAT	16.28	16.43	16.08	16.08	7989700	16.08
632	AMCC	12.91	12.95	12.65	12.75	526052	12.75
18521	AMCX	66.71	67.83	66.71	67.16	661078	67.16
231	AMD	3.96	4	3.915	3.95	24274623	3.95
749	AME	45.94	46.49	45.826	46.02	1729341	46.02
3206	AMED	17.02	17.7	17	17.59	236725	17.59
751	AMG	189.43	189.43	187.14	187.2	373853	187.2
113	AMGN	117.71	117.85	115.66	117.27	3030514	117.27
752	AMH	15.91	16.05	15.91	16.04	658801	16.04
7755	AMIC	9.85	9.9	9.85	9.86	26198	9.86
17713	AMJ	43.98	45.36	43.76	44.9	1648069	44.9
756	AMKR	4.35	4.37	4.27	4.32	1270524	4.32
18735	AMLP	17.37	17.7	17.35	17.62	6900261	17.62
761	AMNB	23.75	23.75	22.891	22.96	37309	22.96
3247	AMOV	21.09	21.12	20.3712	20.3	6964	20.3
9013	AMP	94.31	94.45	93.23	93.42	1097571	93.42
40002	AMPE	7.3	7.4	7.15	7.38	215095	7.38
18064	AMRC	9.43	9.84	9.4	9.78	170121	9.78
763	AMRI	12.55	12.72	12.215	12.7	210191	12.7
3202	AMRN	6.64	6.7	6.52	6.61	2761215	6.61
18117	AMRS	2.63	2.64	2.55	2.57	97542	2.57
3235	AMSC	2.44	2.46	2.4	2.44	186945	2.44
9185	AMSF	34.99	34.99	34.09	34.74	15023	34.74
764	AMSG	39.96	39.97	39.56	39.89	51763	39.89
3234	AMSWA	8.35	8.35	8.17	8.33	40862	8.33
766	AMT	75.77	75.82	74.78	74.82	2338824	74.82
767	AMTD	27.17	27.17	26.25	26.43	6833200	26.43
18567	AMTG	15.5	15.84	15.29	15.84	983684	15.84
5482	AMU	27.92	28.42	27.92	28.25	72103	28.25
